epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.1404,1.43481,1.38886,0.00295,0.75957,0.7506,0.82104,0.56906,1.17449,0.9033,0.00325,0.000199478,0.000199478,0.0802517
2,171.695,1.31084,0.9886,0.00264,0.79307,0.79563,0.86353,0.62766,1.06008,0.7734,0.00293,0.000399434,0.000399434,0.0604517
3,249.893,1.2844,0.9122,0.00261,0.82015,0.81258,0.88957,0.65081,1.0642,0.67294,0.00297,0.000599218,0.000599218,0.0406514
4,326.749,1.24473,0.84968,0.00249,0.83784,0.82615,0.90301,0.67301,1.02497,0.62612,0.00282,0.000798697,0.000798697,0.0208509
5,446.764,1.2303,0.79704,0.00242,0.8379,0.84173,0.90858,0.67367,1.03236,0.61257,0.00288,0.000997743,0.000997743,0.00104996
6,520.707,1.22034,0.78371,0.00243,0.8355,0.85507,0.91394,0.67255,1.03938,0.62914,0.00288,0.000997288,0.000997288,0.000997288
7,613.309,1.21123,0.76714,0.00241,0.85516,0.84455,0.91686,0.68831,1.02743,0.5788,0.00288,0.000996097,0.000996097,0.000996097
8,687.586,1.19594,0.74432,0.00237,0.84808,0.85054,0.92263,0.68266,1.03995,0.57535,0.00289,0.00099469,0.00099469,0.00099469
9,763.883,1.20096,0.72414,0.00236,0.86447,0.85274,0.92495,0.6829,1.04804,0.55753,0.00292,0.000993068,0.000993068,0.000993068
10,840.117,1.19295,0.71037,0.00236,0.84731,0.85494,0.92113,0.67624,1.0392,0.58514,0.00282,0.000991232,0.000991232,0.000991232
11,938.67,1.17219,0.69918,0.00231,0.87637,0.85733,0.93188,0.69203,1.02491,0.53233,0.00281,0.000989183,0.000989183,0.000989183
12,1057.07,1.18508,0.69166,0.00233,0.85821,0.87574,0.92708,0.69885,1.00099,0.54012,0.00275,0.000986922,0.000986922,0.000986922
13,1147.56,1.17051,0.68133,0.00232,0.87427,0.85659,0.93173,0.69775,1.01626,0.53615,0.0028,0.000984449,0.000984449,0.000984449
14,1253.91,1.1723,0.6769,0.00231,0.87192,0.86705,0.9338,0.6954,1.03555,0.53526,0.00286,0.000981765,0.000981765,0.000981765
15,1449.96,1.1587,0.66672,0.00229,0.8748,0.86873,0.93632,0.70701,0.99508,0.52184,0.00275,0.000978873,0.000978873,0.000978873
16,1521.85,1.16524,0.66604,0.00231,0.86711,0.87829,0.937,0.70403,1.00982,0.50549,0.00276,0.000975773,0.000975773,0.000975773
17,1597.02,1.16625,0.66536,0.00229,0.88277,0.86393,0.93842,0.70149,1.02486,0.51916,0.00282,0.000972466,0.000972466,0.000972466
18,1670.99,1.14782,0.64503,0.00224,0.88001,0.87285,0.93973,0.70627,1.01388,0.51711,0.0028,0.000968955,0.000968955,0.000968955
19,1750.17,1.15098,0.66086,0.0023,0.86263,0.88245,0.93959,0.70469,1.02879,0.51007,0.00286,0.000965239,0.000965239,0.000965239
20,1828.78,1.13227,0.63901,0.00223,0.88105,0.868,0.93907,0.70816,1.00016,0.50703,0.00278,0.000961322,0.000961322,0.000961322
21,1943.48,1.13911,0.6401,0.00224,0.8588,0.88447,0.93718,0.70373,1.01061,0.51202,0.00276,0.000957205,0.000957205,0.000957205
22,2287.14,1.14719,0.62749,0.00223,0.8731,0.87566,0.93952,0.71224,0.99859,0.51684,0.00274,0.000952889,0.000952889,0.000952889
23,2365.97,1.1434,0.63443,0.00226,0.86446,0.88423,0.93761,0.71167,0.99625,0.49984,0.00275,0.000948377,0.000948377,0.000948377
24,2449.84,1.13383,0.63192,0.00219,0.87203,0.88062,0.93853,0.71342,0.99065,0.50198,0.00269,0.000943671,0.000943671,0.000943671
25,2531.79,1.13435,0.62371,0.00224,0.87183,0.87658,0.93769,0.716,0.99707,0.49586,0.00276,0.000938772,0.000938772,0.000938772
26,2597.81,1.13494,0.62725,0.00225,0.88141,0.87768,0.9417,0.71655,0.98426,0.48671,0.00268,0.000933683,0.000933683,0.000933683
27,2660.74,1.13178,0.61945,0.00222,0.88663,0.87058,0.94013,0.71496,0.99997,0.49815,0.00275,0.000928405,0.000928405,0.000928405
28,2724.03,1.12181,0.61739,0.00221,0.87775,0.87566,0.94019,0.71463,0.99537,0.49262,0.00274,0.000922942,0.000922942,0.000922942
29,2802.33,1.12992,0.61528,0.00221,0.87734,0.88141,0.94135,0.7175,0.98356,0.49826,0.00268,0.000917296,0.000917296,0.000917296
30,2887.46,1.12798,0.61403,0.00221,0.88358,0.87438,0.94257,0.7181,0.97955,0.49214,0.00267,0.000911469,0.000911469,0.000911469
31,2976.27,1.11951,0.61681,0.00217,0.88673,0.87431,0.94012,0.71298,0.9935,0.49953,0.00272,0.000905463,0.000905463,0.000905463
32,3061.47,1.12723,0.61651,0.0022,0.87654,0.88117,0.9412,0.70942,1.01043,0.4924,0.00276,0.000899282,0.000899282,0.000899282
33,3142.92,1.11857,0.60914,0.00218,0.87977,0.88025,0.942,0.72204,0.97517,0.49529,0.00265,0.000892928,0.000892928,0.000892928
34,3223.21,1.11125,0.6018,0.00214,0.88311,0.88397,0.94508,0.72419,0.98229,0.46754,0.00268,0.000886404,0.000886404,0.000886404
35,3312.61,1.1152,0.60339,0.00217,0.88664,0.87779,0.94309,0.7175,0.99623,0.47605,0.00274,0.000879713,0.000879713,0.000879713
36,3383.99,1.11343,0.60299,0.00215,0.87847,0.88813,0.94356,0.72322,0.98736,0.48435,0.0027,0.000872857,0.000872857,0.000872857
37,3466.16,1.11145,0.60032,0.00219,0.89045,0.88117,0.94447,0.7263,0.9795,0.47086,0.00268,0.000865839,0.000865839,0.000865839
38,3547.45,1.10582,0.5956,0.00213,0.87641,0.89078,0.9449,0.72525,0.96729,0.47165,0.00263,0.000858664,0.000858664,0.000858664
39,3622.7,1.09782,0.59455,0.00213,0.88972,0.87887,0.94502,0.72497,0.97316,0.47958,0.00265,0.000851333,0.000851333,0.000851333
40,3694.06,1.10522,0.59657,0.00217,0.88897,0.878,0.94413,0.72269,0.98562,0.47665,0.00268,0.000843851,0.000843851,0.000843851
41,3784.4,1.10729,0.58497,0.00216,0.88495,0.88428,0.94431,0.72154,0.99807,0.47391,0.00273,0.00083622,0.00083622,0.00083622
42,3861.48,1.0996,0.59785,0.00215,0.89118,0.87603,0.94523,0.72564,0.97333,0.47439,0.00264,0.000828443,0.000828443,0.000828443
43,3931.81,1.1025,0.59106,0.00215,0.88292,0.88367,0.94409,0.72716,0.9721,0.47394,0.00265,0.000820525,0.000820525,0.000820525
44,4000.67,1.11231,0.59879,0.00216,0.89677,0.87462,0.94335,0.72033,0.98985,0.48102,0.00271,0.000812468,0.000812468,0.000812468
45,4080.76,1.10974,0.5911,0.00217,0.88381,0.88855,0.9451,0.72623,0.96987,0.48102,0.00265,0.000804277,0.000804277,0.000804277
46,4148.92,1.11221,0.59952,0.00217,0.8875,0.88391,0.94196,0.7243,0.97333,0.47219,0.00265,0.000795954,0.000795954,0.000795954
47,4214.7,1.11194,0.59909,0.00215,0.88469,0.88641,0.94548,0.72578,0.97728,0.46883,0.00265,0.000787503,0.000787503,0.000787503
48,4281.89,1.10367,0.59187,0.0021,0.89439,0.87752,0.94639,0.72999,0.97318,0.4716,0.00266,0.000778929,0.000778929,0.000778929
49,4355.02,1.08877,0.58267,0.00211,0.8887,0.87805,0.94478,0.72797,0.96909,0.4735,0.00265,0.000770234,0.000770234,0.000770234
50,4421.89,1.09076,0.58435,0.00211,0.88807,0.889,0.9468,0.72954,0.96773,0.46541,0.00265,0.000761423,0.000761423,0.000761423
51,4488.49,1.09372,0.58709,0.0021,0.8911,0.88135,0.94736,0.72836,0.97279,0.46566,0.00265,0.0007525,0.0007525,0.0007525
52,4552.33,1.0847,0.56917,0.0021,0.8811,0.89285,0.94697,0.73298,0.95982,0.45768,0.0026,0.000743468,0.000743468,0.000743468
53,4616.76,1.08516,0.57457,0.00208,0.88,0.89034,0.94385,0.72759,0.97415,0.46717,0.00266,0.000734332,0.000734332,0.000734332
54,4692.47,1.0848,0.58365,0.0021,0.8785,0.89239,0.94556,0.72974,0.96949,0.46656,0.00265,0.000725094,0.000725094,0.000725094
55,4759.13,1.07837,0.57123,0.00208,0.88281,0.8918,0.94574,0.72741,0.96168,0.47893,0.00262,0.000715761,0.000715761,0.000715761
56,4822.94,1.08791,0.5818,0.0021,0.88557,0.88983,0.94727,0.73213,0.96677,0.45777,0.00265,0.000706335,0.000706335,0.000706335
57,4888.35,1.07722,0.56909,0.00208,0.88609,0.88685,0.94788,0.73277,0.9574,0.45964,0.00261,0.00069682,0.00069682,0.00069682
58,4954.35,1.07496,0.56638,0.00209,0.87795,0.89217,0.94572,0.72931,0.96706,0.46528,0.00263,0.000687222,0.000687222,0.000687222
59,5020.08,1.07751,0.56726,0.00209,0.88785,0.88648,0.94751,0.73508,0.96627,0.46099,0.00263,0.000677543,0.000677543,0.000677543
60,5085.64,1.07237,0.56655,0.00208,0.88908,0.8929,0.94845,0.73196,0.96713,0.45631,0.00263,0.000667789,0.000667789,0.000667789
61,5162.85,1.08703,0.5709,0.00209,0.89242,0.88534,0.94756,0.73448,0.95396,0.45564,0.00258,0.000657963,0.000657963,0.000657963
62,5241.9,1.07623,0.56759,0.00207,0.88892,0.88937,0.94758,0.73337,0.95847,0.45618,0.00261,0.000648071,0.000648071,0.000648071
63,5321.42,1.07389,0.56075,0.00206,0.88405,0.89204,0.94739,0.73455,0.95997,0.45811,0.00261,0.000638115,0.000638115,0.000638115
64,5398.77,1.07277,0.56478,0.00207,0.897,0.8819,0.94958,0.73337,0.96103,0.4601,0.00261,0.000628101,0.000628101,0.000628101
65,5549.07,1.07442,0.5612,0.00206,0.88347,0.89584,0.94796,0.73456,0.96013,0.45574,0.0026,0.000618034,0.000618034,0.000618034
66,5684.77,1.05413,0.54922,0.00205,0.88662,0.8973,0.94802,0.73635,0.95345,0.45934,0.00259,0.000607916,0.000607916,0.000607916
67,5797.57,1.07187,0.56447,0.00206,0.88221,0.89693,0.94814,0.73714,0.95022,0.46257,0.00258,0.000597754,0.000597754,0.000597754
68,5838.34,1.07107,0.55846,0.00207,0.897,0.88635,0.94884,0.73579,0.96074,0.45164,0.0026,0.000587551,0.000587551,0.000587551
69,5878.95,1.0633,0.55579,0.00206,0.88773,0.88884,0.94728,0.73556,0.95282,0.46164,0.00257,0.000577311,0.000577311,0.000577311
70,5919.55,1.05884,0.55131,0.00202,0.89102,0.88869,0.94786,0.7375,0.95186,0.45475,0.00259,0.00056704,0.00056704,0.00056704
71,5960.26,1.06317,0.55862,0.00203,0.89027,0.8912,0.94797,0.73626,0.95275,0.45783,0.00259,0.000556742,0.000556742,0.000556742
72,6001.02,1.05974,0.55473,0.00203,0.8803,0.90134,0.94851,0.73609,0.9533,0.45598,0.00259,0.000546421,0.000546421,0.000546421
73,6042,1.06523,0.55601,0.00204,0.89187,0.89015,0.94929,0.7362,0.95343,0.44694,0.00259,0.000536081,0.000536081,0.000536081
74,6082.52,1.06665,0.5589,0.00205,0.88461,0.88991,0.94717,0.73685,0.95401,0.45363,0.00258,0.000525728,0.000525728,0.000525728
75,6123.17,1.05998,0.55329,0.00203,0.89595,0.8827,0.94773,0.73782,0.95024,0.45914,0.00257,0.000515366,0.000515366,0.000515366
76,6164.45,1.05655,0.5553,0.00202,0.88557,0.89699,0.94748,0.73919,0.95194,0.45673,0.00258,0.000505,0.000505,0.000505
77,6205.22,1.05654,0.5436,0.00201,0.88332,0.89584,0.94759,0.73933,0.94074,0.4574,0.00255,0.000494634,0.000494634,0.000494634
