epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.956,1.49727,1.4154,0.0031,0.74472,0.73469,0.79598,0.52674,1.27518,0.93683,0.00346,0.00019931,0.00019931,0.0802683
2,151.891,1.36309,0.97512,0.00276,0.79796,0.77994,0.85211,0.58961,1.19057,0.80581,0.00315,0.000399267,0.000399267,0.0604682
3,194.529,1.32808,0.86601,0.00267,0.83551,0.78675,0.8724,0.60106,1.21518,0.72928,0.00333,0.00059905,0.00059905,0.040668
4,236.819,1.30802,0.81408,0.00261,0.83715,0.82185,0.89204,0.62262,1.17324,0.68884,0.00306,0.00079853,0.00079853,0.0208675
5,278.593,1.29852,0.78341,0.00259,0.8437,0.82042,0.88898,0.64003,1.12944,0.63476,0.00293,0.000997576,0.000997576,0.00106654
6,320.127,1.28026,0.75184,0.00253,0.85565,0.82448,0.89911,0.62702,1.19731,0.64302,0.00317,0.000997288,0.000997288,0.000997288
7,362.207,1.26558,0.72897,0.00251,0.85395,0.83917,0.90785,0.64178,1.14732,0.64328,0.00296,0.000996097,0.000996097,0.000996097
8,403.723,1.26041,0.71656,0.00248,0.86925,0.84144,0.9141,0.64324,1.17449,0.59591,0.0031,0.00099469,0.00099469,0.00099469
9,445.493,1.24642,0.68559,0.00244,0.86836,0.84991,0.91758,0.64615,1.16351,0.58589,0.00304,0.000993068,0.000993068,0.000993068
10,487.169,1.23747,0.67925,0.00242,0.87069,0.85134,0.91976,0.65582,1.1466,0.55875,0.00298,0.000991232,0.000991232,0.000991232
11,528.836,1.24121,0.68255,0.0024,0.8731,0.85301,0.92364,0.65066,1.17418,0.56767,0.00306,0.000989183,0.000989183,0.000989183
12,570.476,1.24273,0.6763,0.00241,0.86466,0.85887,0.92306,0.65644,1.1413,0.56151,0.003,0.000986922,0.000986922,0.000986922
13,611.981,1.23239,0.67038,0.00242,0.88009,0.85087,0.92454,0.66473,1.1218,0.57875,0.00288,0.000984449,0.000984449,0.000984449
14,653.576,1.21685,0.65694,0.00235,0.87273,0.85099,0.92435,0.66317,1.13238,0.55167,0.00298,0.000981765,0.000981765,0.000981765
15,695.126,1.22093,0.65235,0.00238,0.88669,0.85124,0.9309,0.67065,1.13396,0.54076,0.00296,0.000978873,0.000978873,0.000978873
16,736.67,1.21501,0.64987,0.00237,0.87325,0.8591,0.92706,0.66324,1.14097,0.55394,0.00301,0.000975773,0.000975773,0.000975773
17,778.287,1.20239,0.63655,0.00235,0.86703,0.86107,0.92425,0.66268,1.13641,0.56969,0.003,0.000972466,0.000972466,0.000972466
18,819.908,1.21631,0.64277,0.00236,0.88286,0.86209,0.92885,0.67334,1.12041,0.53181,0.0029,0.000968955,0.000968955,0.000968955
19,861.428,1.19958,0.63482,0.00236,0.8713,0.85847,0.92336,0.65906,1.13597,0.54923,0.00298,0.000965239,0.000965239,0.000965239
20,902.979,1.20545,0.63703,0.00231,0.88342,0.85229,0.9268,0.6713,1.11969,0.54046,0.00289,0.000961322,0.000961322,0.000961322
