epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5009,1.17717,1.01566,0.94612,0.82703,0.82047,0.8939,0.66342,0.95821,0.77403,0.90468,0.000199478,0.000199478,0.0802517
2,144.047,1.09529,0.78281,0.92316,0.8681,0.85934,0.92568,0.68889,0.92068,0.66619,0.88559,0.000399434,0.000399434,0.0604517
3,200.985,1.07717,0.73844,0.92033,0.87799,0.86307,0.93451,0.70433,0.92324,0.62791,0.88493,0.000599218,0.000599218,0.0406514
4,268.07,1.05969,0.71183,0.91319,0.85068,0.88373,0.92557,0.69258,0.92819,0.62198,0.88303,0.000798697,0.000798697,0.0208509
5,327.491,1.04792,0.68333,0.90642,0.88262,0.87015,0.93656,0.70265,0.91467,0.5806,0.8842,0.000997743,0.000997743,0.00104996
6,386.741,1.0479,0.68049,0.90782,0.87515,0.87181,0.93668,0.70344,0.92951,0.58846,0.88084,0.000997288,0.000997288,0.000997288
7,446.325,1.04145,0.66697,0.90829,0.87455,0.88467,0.93717,0.69749,0.93577,0.57956,0.88247,0.000996097,0.000996097,0.000996097
8,502.769,1.02043,0.66096,0.90321,0.87237,0.87346,0.93209,0.70716,0.91401,0.5887,0.88082,0.00099469,0.00099469,0.00099469
9,559.148,1.02176,0.65076,0.90275,0.87421,0.89034,0.94237,0.70787,0.91921,0.56043,0.87884,0.000993068,0.000993068,0.000993068
10,625.319,1.01629,0.64229,0.90203,0.87352,0.88149,0.9403,0.70472,0.91728,0.56366,0.88064,0.000991232,0.000991232,0.000991232
11,686.582,1.0004,0.63386,0.89768,0.88532,0.87585,0.9399,0.69895,0.93966,0.56587,0.88323,0.000989183,0.000989183,0.000989183
12,740.947,1.01455,0.63198,0.90052,0.8851,0.88135,0.94285,0.7108,0.90011,0.55553,0.87765,0.000986922,0.000986922,0.000986922
13,792.403,1.00162,0.62612,0.89856,0.88107,0.88208,0.94248,0.7161,0.90074,0.54673,0.88044,0.000984449,0.000984449,0.000984449
14,848.24,0.99723,0.62272,0.89764,0.88162,0.88593,0.94343,0.71487,0.90504,0.54372,0.87768,0.000981765,0.000981765,0.000981765
15,903.549,0.99136,0.61735,0.89591,0.88056,0.89769,0.94621,0.72063,0.88882,0.53924,0.87442,0.000978873,0.000978873,0.000978873
16,958.098,0.9868,0.61445,0.89659,0.88951,0.88483,0.94716,0.71743,0.89584,0.53317,0.87473,0.000975773,0.000975773,0.000975773
17,1014.38,0.9918,0.61181,0.89633,0.8918,0.87966,0.94628,0.7258,0.88858,0.52207,0.87466,0.000972466,0.000972466,0.000972466
18,1081.39,0.97902,0.6023,0.89048,0.87854,0.88685,0.94549,0.72226,0.89507,0.53048,0.87516,0.000968955,0.000968955,0.000968955
19,1205.28,0.98117,0.60852,0.89672,0.86038,0.89387,0.93643,0.71443,0.89418,0.54167,0.87664,0.000965239,0.000965239,0.000965239
20,1345.64,0.97298,0.60068,0.89164,0.89104,0.88633,0.94582,0.72321,0.88927,0.52196,0.87452,0.000961322,0.000961322,0.000961322
21,1500.88,0.9712,0.59716,0.89063,0.88046,0.89147,0.94401,0.71465,0.9,0.52839,0.87632,0.000957205,0.000957205,0.000957205
22,1575.95,0.97089,0.59017,0.88967,0.88436,0.89235,0.94546,0.72693,0.88886,0.52217,0.8752,0.000952889,0.000952889,0.000952889
23,1645.19,0.97229,0.59601,0.8912,0.88659,0.88502,0.94476,0.72483,0.88397,0.5216,0.87415,0.000948377,0.000948377,0.000948377
24,1711.95,0.9603,0.59087,0.89006,0.88646,0.89484,0.94952,0.72911,0.88994,0.5134,0.87446,0.000943671,0.000943671,0.000943671
25,1778.27,0.96321,0.58512,0.89262,0.88345,0.8874,0.94386,0.72768,0.88457,0.51396,0.87356,0.000938772,0.000938772,0.000938772
26,1844.49,0.97004,0.58906,0.89306,0.88804,0.8896,0.9476,0.72961,0.87986,0.51553,0.87253,0.000933683,0.000933683,0.000933683
27,1911.13,0.96285,0.58429,0.89097,0.89632,0.88612,0.94537,0.7301,0.87737,0.50941,0.87154,0.000928405,0.000928405,0.000928405
28,1977.35,0.95853,0.57943,0.89004,0.88733,0.88386,0.94412,0.72369,0.87936,0.5179,0.87132,0.000922942,0.000922942,0.000922942
29,2043.7,0.95519,0.57845,0.88857,0.88212,0.89382,0.94474,0.72818,0.87624,0.51775,0.87285,0.000917296,0.000917296,0.000917296
30,2110.05,0.95693,0.57974,0.88831,0.88314,0.89235,0.94667,0.73124,0.87421,0.51291,0.87054,0.000911469,0.000911469,0.000911469
31,2176.58,0.95178,0.58117,0.88773,0.87943,0.89639,0.94706,0.73032,0.8722,0.51135,0.87245,0.000905463,0.000905463,0.000905463
32,2243.45,0.96237,0.57864,0.89116,0.88517,0.89767,0.94837,0.73237,0.87148,0.50313,0.87113,0.000899282,0.000899282,0.000899282
33,2656.26,0.95463,0.57428,0.88832,0.88806,0.88893,0.94763,0.72946,0.87475,0.51204,0.87159,0.000892928,0.000892928,0.000892928
34,2735.6,0.9465,0.57008,0.8858,0.89333,0.89226,0.95002,0.73457,0.86949,0.49914,0.87061,0.000886404,0.000886404,0.000886404
35,2892.37,0.9477,0.56904,0.88685,0.88804,0.89314,0.94765,0.7303,0.87346,0.50005,0.87215,0.000879713,0.000879713,0.000879713
36,4269.36,0.93904,0.56545,0.88408,0.88733,0.88777,0.9477,0.73778,0.86372,0.49572,0.86848,0.000872857,0.000872857,0.000872857
37,4323.01,0.93917,0.56499,0.88598,0.88985,0.8973,0.94736,0.73289,0.86937,0.50026,0.87024,0.000865839,0.000865839,0.000865839
38,4376.5,0.93892,0.56667,0.88069,0.8966,0.8937,0.95053,0.73094,0.86995,0.50262,0.87004,0.000858664,0.000858664,0.000858664
39,4424.71,0.93424,0.56119,0.88364,0.89414,0.89681,0.95078,0.73863,0.86006,0.49559,0.86858,0.000851333,0.000851333,0.000851333
40,4474.47,0.93302,0.56422,0.88343,0.88889,0.894,0.94752,0.73779,0.86181,0.49576,0.86878,0.000843851,0.000843851,0.000843851
41,4523.22,0.93556,0.55758,0.88339,0.89191,0.89132,0.9479,0.73709,0.86414,0.49241,0.87156,0.00083622,0.00083622,0.00083622
42,4571.99,0.94138,0.56394,0.88448,0.89599,0.89694,0.95141,0.73701,0.86525,0.49484,0.86996,0.000828443,0.000828443,0.000828443
43,4623.66,0.93423,0.55318,0.8855,0.90377,0.8841,0.94867,0.73655,0.861,0.49323,0.87039,0.000820525,0.000820525,0.000820525
44,4676.47,0.93438,0.55957,0.88392,0.89113,0.89364,0.94985,0.74125,0.86119,0.48791,0.87067,0.000812468,0.000812468,0.000812468
45,4728.7,0.93744,0.55902,0.88454,0.89857,0.89842,0.95203,0.74132,0.8569,0.48403,0.86931,0.000804277,0.000804277,0.000804277
46,4779.26,0.94277,0.56356,0.88613,0.89668,0.88869,0.94966,0.73982,0.85792,0.49109,0.8683,0.000795954,0.000795954,0.000795954
47,5481.42,0.93828,0.56198,0.88422,0.89168,0.8929,0.94884,0.73685,0.85622,0.4906,0.86946,0.000787503,0.000787503,0.000787503
48,5683.6,0.93399,0.55262,0.87891,0.89989,0.88685,0.95025,0.74407,0.85475,0.48562,0.86672,0.000778929,0.000778929,0.000778929
49,5734.34,0.92029,0.54828,0.88008,0.88404,0.90244,0.9487,0.74108,0.85899,0.48959,0.86899,0.000770234,0.000770234,0.000770234
50,5782.76,0.92919,0.552,0.88281,0.88261,0.89639,0.94604,0.73633,0.85984,0.49256,0.86957,0.000761423,0.000761423,0.000761423
51,5833.64,0.92667,0.54989,0.88138,0.8849,0.90244,0.95063,0.74341,0.85111,0.48405,0.86804,0.0007525,0.0007525,0.0007525
52,5879.17,0.91105,0.53739,0.87993,0.89527,0.89767,0.95054,0.74442,0.84997,0.48019,0.86756,0.000743468,0.000743468,0.000743468
53,5924.82,0.92137,0.54739,0.88102,0.89662,0.89015,0.94961,0.7408,0.85671,0.48711,0.86902,0.000734332,0.000734332,0.000734332
54,5969.41,0.91869,0.54546,0.88135,0.89188,0.90061,0.95088,0.74506,0.84987,0.47919,0.86747,0.000725094,0.000725094,0.000725094
55,6016.19,0.90759,0.5386,0.87739,0.89389,0.89297,0.95081,0.74577,0.85266,0.4842,0.86785,0.000715761,0.000715761,0.000715761
56,6068.41,0.92135,0.54686,0.88121,0.89717,0.89199,0.95078,0.7415,0.85272,0.48303,0.86782,0.000706335,0.000706335,0.000706335
57,6122.81,0.91023,0.5372,0.8785,0.89758,0.88869,0.94996,0.74291,0.85237,0.48037,0.86625,0.00069682,0.00069682,0.00069682
58,6175.93,0.91,0.5389,0.87872,0.88225,0.90042,0.94887,0.74245,0.8513,0.48235,0.86823,0.000687222,0.000687222,0.000687222
59,6222.82,0.90965,0.53542,0.87866,0.89253,0.89767,0.95121,0.74577,0.84916,0.47695,0.86591,0.000677543,0.000677543,0.000677543
60,6271.55,0.90764,0.53588,0.87771,0.89835,0.89419,0.9515,0.74711,0.85032,0.47659,0.86492,0.000667789,0.000667789,0.000667789
61,6322.52,0.91627,0.53983,0.87853,0.89205,0.89413,0.95217,0.7455,0.85083,0.4776,0.8664,0.000657963,0.000657963,0.000657963
62,6373.72,0.91041,0.53778,0.87812,0.89637,0.89455,0.95047,0.74878,0.84265,0.47252,0.86403,0.000648071,0.000648071,0.000648071
63,6426.09,0.90793,0.53188,0.87806,0.89961,0.89396,0.95118,0.74598,0.85194,0.47388,0.86747,0.000638115,0.000638115,0.000638115
64,6477.64,0.90958,0.53333,0.87796,0.89964,0.89101,0.95234,0.74751,0.84088,0.46903,0.86442,0.000628101,0.000628101,0.000628101
65,6529.11,0.90614,0.53087,0.87635,0.89194,0.88706,0.94942,0.74507,0.84356,0.47652,0.86457,0.000618034,0.000618034,0.000618034
66,6580.86,0.89586,0.52838,0.87595,0.89625,0.89348,0.95116,0.74908,0.84324,0.47518,0.8642,0.000607916,0.000607916,0.000607916
67,6633.02,0.91341,0.53438,0.87832,0.89239,0.90033,0.95022,0.74649,0.8458,0.47675,0.86501,0.000597754,0.000597754,0.000597754
68,6682.59,0.9069,0.53067,0.87703,0.89338,0.90427,0.95239,0.75003,0.84605,0.4712,0.86572,0.000587551,0.000587551,0.000587551
69,6734.08,0.89727,0.52854,0.87514,0.90001,0.88813,0.94986,0.74784,0.84591,0.4746,0.86363,0.000577311,0.000577311,0.000577311
70,6780.28,0.89231,0.52321,0.87316,0.90348,0.89565,0.95194,0.75085,0.84484,0.46755,0.86468,0.00056704,0.00056704,0.00056704
71,6833.2,0.89646,0.52878,0.87354,0.89638,0.89944,0.95199,0.74984,0.84532,0.46881,0.86561,0.000556742,0.000556742,0.000556742
72,6881.86,0.89465,0.52667,0.8742,0.9003,0.89437,0.95301,0.74953,0.84589,0.46922,0.86529,0.000546421,0.000546421,0.000546421
73,6936.29,0.89972,0.5267,0.87484,0.89907,0.89602,0.9529,0.75215,0.84058,0.46725,0.86528,0.000536081,0.000536081,0.000536081
74,6997.05,0.90117,0.52443,0.87462,0.90378,0.89229,0.95152,0.75116,0.83714,0.46712,0.86356,0.000525728,0.000525728,0.000525728
75,7069.61,0.89347,0.52116,0.87299,0.89901,0.89296,0.95362,0.74957,0.84428,0.47005,0.86401,0.000515366,0.000515366,0.000515366
76,7136.65,0.89358,0.52133,0.87353,0.8964,0.89965,0.95279,0.75173,0.84035,0.46556,0.86406,0.000505,0.000505,0.000505
77,7203.23,0.88845,0.51311,0.87173,0.90111,0.89254,0.95129,0.75203,0.83655,0.46658,0.86438,0.000494634,0.000494634,0.000494634
78,7283.16,0.89981,0.51911,0.87851,0.90471,0.88451,0.95218,0.75068,0.83645,0.46657,0.86312,0.000484272,0.000484272,0.000484272
79,7351.8,0.88261,0.51416,0.87114,0.90297,0.8929,0.95278,0.75387,0.83487,0.46243,0.86237,0.000473919,0.000473919,0.000473919
80,7417.32,0.88555,0.51368,0.87128,0.89422,0.89763,0.95259,0.75278,0.83305,0.46128,0.86257,0.000463579,0.000463579,0.000463579
81,7476.33,0.88091,0.50925,0.87024,0.90661,0.89009,0.95394,0.75516,0.82961,0.45893,0.86155,0.000453258,0.000453258,0.000453258
82,7533.95,0.87855,0.5118,0.87126,0.90223,0.89162,0.95456,0.75626,0.83188,0.46039,0.86096,0.00044296,0.00044296,0.00044296
83,7596.1,0.8752,0.50471,0.87025,0.8959,0.90519,0.95406,0.75534,0.83516,0.46033,0.86175,0.000432689,0.000432689,0.000432689
84,7657.32,0.88386,0.51172,0.87263,0.89644,0.9017,0.95378,0.75446,0.83504,0.46005,0.86187,0.000422449,0.000422449,0.000422449
85,7716.68,0.87572,0.50762,0.87221,0.90517,0.89419,0.95407,0.75682,0.83284,0.45763,0.86196,0.000412246,0.000412246,0.000412246
86,7773.35,0.88491,0.5116,0.87147,0.90503,0.88776,0.95415,0.75436,0.83852,0.46026,0.86254,0.000402084,0.000402084,0.000402084
87,7828.31,0.88509,0.5073,0.87158,0.90382,0.8929,0.95415,0.7563,0.83297,0.45805,0.86062,0.000391966,0.000391966,0.000391966
88,7911.67,0.8795,0.50611,0.8697,0.89841,0.8995,0.95456,0.75602,0.82955,0.45595,0.86176,0.000381899,0.000381899,0.000381899
89,7994.58,0.87359,0.50124,0.86673,0.89924,0.8951,0.95465,0.75733,0.82888,0.45778,0.86207,0.000371885,0.000371885,0.000371885
90,8090.15,0.88121,0.50485,0.86788,0.89603,0.89772,0.95384,0.75779,0.8306,0.45519,0.86204,0.000361929,0.000361929,0.000361929
91,8175.23,0.88328,0.50602,0.87203,0.90174,0.89235,0.9536,0.75594,0.83329,0.45457,0.86274,0.000352037,0.000352037,0.000352037
92,8229.18,0.87119,0.50486,0.86801,0.89332,0.89712,0.95344,0.75677,0.83117,0.45694,0.86055,0.000342211,0.000342211,0.000342211
93,8273.95,0.87501,0.49992,0.8708,0.90324,0.89162,0.95352,0.75831,0.82616,0.45324,0.86068,0.000332457,0.000332457,0.000332457
94,8319.05,0.86936,0.49798,0.86795,0.90222,0.8929,0.95381,0.75863,0.82839,0.45418,0.86191,0.000322778,0.000322778,0.000322778
95,8363.14,0.87837,0.50159,0.87039,0.90188,0.89437,0.95459,0.75705,0.82846,0.45573,0.86121,0.00031318,0.00031318,0.00031318
96,8406.91,0.87885,0.49811,0.87253,0.8975,0.89969,0.95392,0.75833,0.82644,0.45155,0.8605,0.000303665,0.000303665,0.000303665
