epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.504,1.1946,1.03051,0.95053,0.84258,0.79631,0.8771,0.61185,1.02374,0.7288,0.91323,0.00019931,0.00019931,0.0802683
2,141.274,1.10865,0.7555,0.92545,0.8496,0.82897,0.89918,0.63833,1.00709,0.65211,0.9015,0.000399267,0.000399267,0.0604682
3,175.354,1.09437,0.7095,0.92193,0.86082,0.81469,0.89411,0.6362,1.02785,0.67847,0.90912,0.00059905,0.00059905,0.040668
4,208.924,1.08073,0.68473,0.91833,0.86324,0.81852,0.9017,0.64256,0.99988,0.63203,0.902,0.00079853,0.00079853,0.0208675
5,243.048,1.07735,0.67262,0.91678,0.84858,0.87391,0.91176,0.65248,0.99754,0.5857,0.89714,0.000997576,0.000997576,0.00106654
6,277.568,1.06172,0.65768,0.91225,0.86779,0.84803,0.90979,0.65339,0.99864,0.58813,0.89742,0.000997288,0.000997288,0.000997288
7,311.573,1.05738,0.64469,0.91354,0.8842,0.85122,0.92355,0.65504,1.00664,0.57819,0.90045,0.000996097,0.000996097,0.000996097
8,345.439,1.04331,0.63262,0.90699,0.8792,0.85313,0.92371,0.65814,0.9976,0.57122,0.89724,0.00099469,0.00099469,0.00099469
9,379.315,1.03419,0.61842,0.90544,0.87759,0.86364,0.92331,0.66355,0.97779,0.56044,0.89047,0.000993068,0.000993068,0.000993068
10,412.787,1.02998,0.61903,0.90344,0.87522,0.8677,0.92878,0.66645,0.97934,0.54895,0.89221,0.000991232,0.000991232,0.000991232
11,446.077,1.02593,0.61578,0.9037,0.8682,0.86866,0.92548,0.66173,0.97081,0.55614,0.89131,0.000989183,0.000989183,0.000989183
12,479.315,1.02618,0.609,0.90135,0.88517,0.8698,0.93155,0.67273,0.96743,0.53588,0.8915,0.000986922,0.000986922,0.000986922
13,512.571,1.02002,0.60449,0.9037,0.8819,0.86125,0.92649,0.66649,0.97534,0.54422,0.89261,0.000984449,0.000984449,0.000984449
14,545.774,1.00861,0.5994,0.89761,0.88612,0.85994,0.92807,0.67267,0.96123,0.5378,0.88781,0.000981765,0.000981765,0.000981765
15,579.052,1.0067,0.59118,0.89726,0.87889,0.86484,0.92702,0.67429,0.95509,0.54881,0.88619,0.000978873,0.000978873,0.000978873
16,612.337,1.00003,0.59443,0.89807,0.88835,0.86171,0.92914,0.67755,0.95126,0.53267,0.88529,0.000975773,0.000975773,0.000975773
17,645.549,1.00546,0.58512,0.89904,0.88356,0.87252,0.93207,0.674,0.95975,0.53472,0.88841,0.000972466,0.000972466,0.000972466
18,678.805,0.99607,0.58166,0.89591,0.89703,0.86472,0.93545,0.684,0.94488,0.51918,0.88503,0.000968955,0.000968955,0.000968955
19,712.02,0.99079,0.57991,0.89662,0.88891,0.86113,0.92997,0.67719,0.95033,0.52817,0.88708,0.000965239,0.000965239,0.000965239
20,745.388,0.99463,0.57828,0.89295,0.88586,0.87821,0.93476,0.68409,0.94257,0.51698,0.88496,0.000961322,0.000961322,0.000961322
21,778.535,0.99201,0.57499,0.89455,0.89774,0.86806,0.93456,0.6829,0.94299,0.51696,0.88528,0.000957205,0.000957205,0.000957205
22,811.786,0.98902,0.5756,0.8943,0.88546,0.86675,0.93241,0.68608,0.94573,0.52896,0.885,0.000952889,0.000952889,0.000952889
23,845.292,0.98231,0.57321,0.89324,0.88641,0.88251,0.9319,0.67879,0.94852,0.51546,0.88753,0.000948377,0.000948377,0.000948377
24,878.516,0.98307,0.56918,0.89597,0.89459,0.87651,0.93682,0.69074,0.93196,0.51166,0.88338,0.000943671,0.000943671,0.000943671
25,911.869,0.97447,0.56375,0.89146,0.89904,0.87248,0.93714,0.69298,0.93439,0.5049,0.88212,0.000938772,0.000938772,0.000938772
26,945.111,0.97439,0.5629,0.89006,0.88659,0.87086,0.93387,0.68318,0.93746,0.50987,0.88546,0.000933683,0.000933683,0.000933683
27,978.392,0.97284,0.56126,0.89265,0.88555,0.88215,0.93604,0.68747,0.93969,0.50348,0.88609,0.000928405,0.000928405,0.000928405
28,1011.65,0.97356,0.55711,0.89267,0.88304,0.87821,0.93479,0.69082,0.93659,0.50457,0.882,0.000922942,0.000922942,0.000922942
29,1044.85,0.97076,0.55666,0.88919,0.88405,0.88131,0.93587,0.68757,0.9367,0.50953,0.88551,0.000917296,0.000917296,0.000917296
30,1078.11,0.96829,0.55329,0.89012,0.8876,0.88096,0.93676,0.68741,0.93808,0.50067,0.88588,0.000911469,0.000911469,0.000911469
31,1111.37,0.96774,0.55317,0.89032,0.89202,0.87284,0.93796,0.69259,0.92929,0.49785,0.88471,0.000905463,0.000905463,0.000905463
32,1144.65,0.96131,0.55361,0.88641,0.88983,0.88024,0.93961,0.69525,0.92362,0.49494,0.88452,0.000899282,0.000899282,0.000899282
33,1178,0.96767,0.5544,0.88942,0.89285,0.87893,0.93655,0.69412,0.92182,0.49192,0.8838,0.000892928,0.000892928,0.000892928
34,1211.17,0.95702,0.54777,0.88762,0.88509,0.88418,0.93654,0.69387,0.92341,0.49275,0.88182,0.000886404,0.000886404,0.000886404
35,1244.43,0.96088,0.54927,0.88649,0.8961,0.87713,0.93965,0.69523,0.92539,0.49266,0.88194,0.000879713,0.000879713,0.000879713
36,1277.59,0.96007,0.55196,0.88589,0.89725,0.87558,0.94064,0.6971,0.92639,0.49014,0.88145,0.000872857,0.000872857,0.000872857
37,1310.88,0.95256,0.54199,0.88622,0.89601,0.88064,0.94173,0.69793,0.91933,0.49193,0.88062,0.000865839,0.000865839,0.000865839
38,1344.07,0.94846,0.5432,0.88634,0.88967,0.88764,0.93847,0.69522,0.9234,0.49045,0.8803,0.000858664,0.000858664,0.000858664
39,1377.31,0.94581,0.53512,0.88514,0.8895,0.87725,0.9389,0.68827,0.93398,0.49716,0.88489,0.000851333,0.000851333,0.000851333
40,1410.46,0.94647,0.53682,0.88317,0.89456,0.87881,0.94127,0.69763,0.91859,0.48817,0.87958,0.000843851,0.000843851,0.000843851
41,1444.09,0.94356,0.53727,0.88187,0.89159,0.87976,0.93936,0.69603,0.91635,0.48932,0.87878,0.00083622,0.00083622,0.00083622
42,1477.28,0.93942,0.53218,0.88464,0.89322,0.8837,0.93965,0.69443,0.92264,0.48683,0.88313,0.000828443,0.000828443,0.000828443
43,1510.49,0.94358,0.53768,0.8839,0.89021,0.88513,0.93885,0.69736,0.92078,0.48493,0.88364,0.000820525,0.000820525,0.000820525
44,1543.71,0.94118,0.53617,0.88286,0.88885,0.88704,0.9395,0.69888,0.91594,0.4816,0.88249,0.000812468,0.000812468,0.000812468
45,1576.99,0.93894,0.53258,0.88275,0.89408,0.88263,0.9421,0.7037,0.90939,0.47774,0.87886,0.000804277,0.000804277,0.000804277
46,1610.3,0.93772,0.52943,0.88188,0.88854,0.88804,0.94085,0.69863,0.91238,0.47908,0.88144,0.000795954,0.000795954,0.000795954
47,1643.5,0.93218,0.5261,0.88308,0.88876,0.88657,0.93992,0.69875,0.91915,0.48413,0.88319,0.000787503,0.000787503,0.000787503
48,1677.22,0.93892,0.52969,0.8803,0.89479,0.88478,0.94151,0.70159,0.90798,0.48152,0.87693,0.000778929,0.000778929,0.000778929
49,1710.68,0.93809,0.52691,0.88251,0.89169,0.89058,0.94246,0.7021,0.90656,0.47722,0.87825,0.000770234,0.000770234,0.000770234
50,1743.86,0.93131,0.52572,0.87868,0.89674,0.88275,0.94164,0.70257,0.90899,0.47282,0.87901,0.000761423,0.000761423,0.000761423
51,1777.16,0.93458,0.52351,0.87977,0.89371,0.8915,0.94413,0.71016,0.90257,0.46863,0.87761,0.0007525,0.0007525,0.0007525
52,1810.37,0.92787,0.52542,0.88035,0.89407,0.88561,0.94275,0.70387,0.9118,0.47492,0.87868,0.000743468,0.000743468,0.000743468
53,1843.68,0.92841,0.5186,0.87952,0.89495,0.88498,0.94102,0.70226,0.90673,0.47229,0.8787,0.000734332,0.000734332,0.000734332
54,1876.9,0.92023,0.51905,0.87615,0.89467,0.88573,0.94349,0.70379,0.90253,0.47177,0.87873,0.000725094,0.000725094,0.000725094
55,1910.8,0.92175,0.51585,0.87874,0.88807,0.89055,0.94292,0.70233,0.90872,0.47327,0.87966,0.000715761,0.000715761,0.000715761
56,1944.06,0.91684,0.517,0.8757,0.89473,0.88227,0.94177,0.70431,0.90464,0.46749,0.87872,0.000706335,0.000706335,0.000706335
57,1977.23,0.92709,0.5131,0.87901,0.89024,0.8929,0.94251,0.70759,0.90404,0.46859,0.87726,0.00069682,0.00069682,0.00069682
58,2010.51,0.91437,0.51516,0.87692,0.90067,0.87586,0.94224,0.70355,0.90538,0.46644,0.87996,0.000687222,0.000687222,0.000687222
