epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2124.65,1.26258,1.02645,0.96519,0.80319,0.75272,0.83905,0.58465,1.0529,0.79496,0.91362,0.000199655,0.000199655,0.0802342
2,3981.66,1.20519,0.85087,0.94856,0.84716,0.79356,0.88123,0.61971,1.03959,0.78737,0.9045,0.000399611,0.000399611,0.0604342
3,5831.37,1.17838,0.78598,0.93612,0.8503,0.82877,0.89643,0.62559,1.05591,0.67547,0.90845,0.000599394,0.000599394,0.0406339
4,7559.35,1.16832,0.77336,0.93737,0.86166,0.84824,0.91374,0.64667,1.01887,0.62595,0.90054,0.000798873,0.000798873,0.0208334
5,9337.74,1.14844,0.74491,0.9316,0.85571,0.85256,0.9117,0.64724,0.99567,0.6193,0.89458,0.000997919,0.000997919,0.00103246
6,11224.1,1.13782,0.72705,0.92875,0.86748,0.84958,0.9167,0.65168,1.00672,0.60075,0.89572,0.000997288,0.000997288,0.000997288
7,13062.8,1.12672,0.71037,0.92434,0.87464,0.84473,0.9175,0.65478,0.99524,0.59057,0.89649,0.000996097,0.000996097,0.000996097
8,14959.2,1.11125,0.69341,0.92112,0.86282,0.86543,0.92381,0.66129,0.98013,0.57415,0.89047,0.00099469,0.00099469,0.00099469
